spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0,1,2,2,4.0,1,ne,3,3,7,1,"Pri vprašalniku vidi pomanjkljivost v tem, da mi ne da možnosti odzvati se na posamezne trditve (V10 - V17) v splošnem smislu - ali je navedena trditev v splošnem bila ali ne razlog za vključitev mojega otroka v vrtec. Moj glavni razlog za vključitev otroka v vrtec je bila predvsem zaradi zagotavljanja varstva v času, ko smo starši v službi; od vrtca nisem neposredno pričakovala, da bo mojega otroka izobrazil na področju umetnosti, gibanja, zdravega življenja ipd., kot tudi ne, da bo v vrtcu načrtno razvijal socialne kompetence. Seveda, če se je vse to v času njegovega obikovanja vrtca zgodilo, je to dobrodošel ''stranski učinek''.",80.0,23.0,0.0714285714285714,-0.625,-0.2857142857142857,-0.4,0.0,0.0,-0.5,0.0,1.8571428571428568,0.3333333333333333
0,1,1,1,2.0,0,da,3,3,2,1,,80.0,29.75250836120401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,3,2,4.0,0,da,3,3,7,1,"Za vključitev otroka v vrtec sem se odločila zarafi potrebe po varstvu in ne zaradi naštetih trditev v vprašalniku! Večino veščin, ki jih omenja vprašalnik otrok osvoji tudi v domačem, družinskem okolju. Nekatere veščine, kot je uporaba digitalnih orodij, črk, itd. se mi ne zdijo nujno potrebna za 1-5 letne otroke. Moji odgovori v vprašalniku navajajo mnenje k čemu vrtec prispeva ali bi moral prispevati. Ne odražapa razlogovza vpis v vrtec.",82.0,11.0,0.4285714285714285,0.0,1.7142857142857142,0.6,1.125,1.25,-0.25,1.0,1.2857142857142858,0.9166666666666666
1,1,2,2,4.0,0,da,3,3,7,1,,87.0,30.0,2.0,2.0,2.0,0.8,1.625,2.0,1.5,2.0,1.2857142857142858,1.25
1,1,2,1,4.0,1,da,0,3,7,1,,80.0,24.0,-0.2857142857142857,0.875,0.0,0.8,1.25,1.0,0.0,0.8333333333333334,1.5714285714285714,1.9166666666666667
0,1,2,2,4.0,1,da,3,3,7,1,,79.0,12.0,0.7857142857142857,0.0,-0.7142857142857143,-1.4,-0.375,-0.25,0.0,-0.8333333333333334,1.0,-0.3333333333333333
1,1,1,1,3.0,0,da,0,3,7,1,,83.0,39.0,2.0,1.875,2.0,2.0,2.0,2.0,2.0,1.8333333333333333,2.0,2.0
1,1,3,2,4.0,1,da,3,3,7,1,,82.0,25.0,2.0,2.0,1.8571428571428568,1.8,2.0,2.0,1.0,1.6666666666666667,2.0,-0.0833333333333333
1,1,2,1,4.0,0,da,3,3,7,1,Ne.,83.0,26.0,2.0,2.0,1.5714285714285714,1.6,2.0,2.0,0.75,1.3333333333333333,1.7142857142857142,1.25
1,1,1,1,4.0,1,da,3,3,7,1,,98.0,30.0,1.2857142857142858,0.875,1.5714285714285714,0.8,1.0,1.0,-0.25,1.0,1.1428571428571428,1.0833333333333333
1,1,2,3,3.0,1,da,3,3,7,1,,80.0,36.0,1.5,1.625,0.4285714285714285,2.0,0.5,1.0,0.0,1.1666666666666667,1.8571428571428568,1.25
0,1,1,1,5.0,0,da,3,3,7,1,,87.0,11.0,1.9285714285714288,1.75,1.8571428571428568,2.0,1.875,2.0,2.0,1.6666666666666667,1.4285714285714286,1.0
0,1,2,2,8.0,2,da,0,3,7,1,,82.0,62.0,0.0714285714285714,0.25,1.1428571428571428,0.6,1.0,1.0,0.0,1.0,0.4285714285714285,0.75
0,1,1,1,4.0,1,da,2,3,7,1,,89.0,11.0,2.0,1.5,2.0,1.0,1.25,1.0,1.25,2.0,1.8571428571428568,2.0
0,1,1,1,6.0,0,da,3,3,7,1,,80.0,41.752508361204015,1.0,0.875,1.0,1.0,1.125,1.0,1.0,1.8333333333333333,1.4285714285714286,1.1666666666666667
0,1,2,1,4.0,1,da,3,3,7,1,,90.0,11.0,1.7857142857142858,1.75,1.2857142857142858,0.6,0.5,1.25,-0.25,0.8333333333333334,1.2857142857142858,1.0
0,1,1,1,4.0,1,da,3,3,7,1,,87.0,30.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1,1,1,3.0,2,da,3,3,7,1,,84.0,29.0,2.0,1.875,1.8571428571428568,2.0,2.0,2.0,1.5,2.0,1.7142857142857142,1.3333333333333333
0,1,2,2,4.0,1,da,3,0,7,1,,86.0,30.0,1.0,0.25,1.0,0.4,1.375,0.5,0.25,0.3333333333333333,0.7142857142857143,0.9166666666666666
0,1,2,2,4.0,0,da,3,3,7,1,,87.0,11.0,2.0,1.875,1.8571428571428568,2.0,2.0,2.0,1.75,2.0,1.8571428571428568,0.5
0,1,2,1,4.0,1,da,3,3,7,1,,91.0,41.752508361204015,0.9285714285714286,0.625,0.4285714285714285,0.0,0.875,0.5,0.5,0.5,0.8571428571428571,0.9166666666666666
1,1,2,1,5.0,1,da,2,3,7,1,,84.0,27.0,1.7142857142857142,0.875,1.8571428571428568,1.6,2.0,1.25,1.0,1.6666666666666667,1.7142857142857142,1.3333333333333333
1,1,1,1,2.0,0,da,3,3,7,1,,88.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0,0,2,2,4.0,1,da,3,3,7,1,,87.0,20.0,2.0,1.375,1.5714285714285714,1.6,1.75,1.25,1.5,1.8333333333333333,1.7142857142857142,1.5833333333333333
0,1,2,2,4.0,0,da,3,3,7,1,,84.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1,2,1,4.0,0,da,3,3,7,1,,77.0,11.0,2.0,1.375,1.2857142857142858,1.0,1.375,1.0,0.5,0.8333333333333334,2.0,1.1666666666666667
1,1,1,1,4.0,1,da,1,3,7,1,,81.0,12.0,2.0,1.625,1.7142857142857142,1.6,1.875,2.0,0.0,0.0,1.7142857142857142,1.8333333333333333
0,1,2,1,4.0,0,da,3,3,7,1,,87.0,31.0,-0.2857142857142857,-0.625,0.8571428571428571,0.8,1.625,1.0,0.0,0.6666666666666666,0.4285714285714285,-0.3333333333333333
1,1,1,1,5.0,1,da,3,3,7,1,,81.0,26.0,1.2142857142857142,0.875,0.0,0.0,1.75,0.75,0.75,2.0,1.4285714285714286,1.4166666666666667
1,1,1,1,3.0,0,da,3,3,7,1,,88.0,33.0,2.0,1.75,1.8571428571428568,1.8,2.0,2.0,0.0,1.8333333333333333,0.7142857142857143,0.5
0,1,2,1,4.0,1,da,3,3,7,1,,77.0,21.0,2.0,1.375,1.1428571428571428,0.8,1.25,1.0,1.25,1.0,1.1428571428571428,0.9166666666666666
0,1,2,1,3.0,0,da,3,3,7,1,,85.0,29.0,2.0,1.625,1.7142857142857142,0.8,1.0,1.0,0.5,0.6666666666666666,0.8571428571428571,1.25
0,1,1,1,4.0,1,da,3,3,2,1,,84.0,16.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.1428571428571428,1.8333333333333333
